,,,,,,,,,,,,
Параметры:,,Период отчета: 02.09.2024 - 05.05.2025,,,,,,,,,,
,,,,,,,,,,,,
Оригинатор,,,Вид сельскохозяйственной культуры,,Сорт,Заявление,Свидетельство,,,Основание,,Статус
,,,,,,,"(номер, дата выдачи, подписано)",,,"(наличие, тип основания, номер основания)",,
,,,,,,,2024-035180,26.12.2024,✔,,,
,,,,,ДИСК,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035329 от 23.12.2024 11:21:15,Свидетельство оригинатора №2024-035110 от 24.12.2024 на сорт ДИСК,,,,Лицензия,Включен
,,,,,,,2024-035110,24.12.2024,✔,,,
,,,,,ЗОНТИК,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035401 от 26.12.2024 11:35:53,Свидетельство оригинатора №2024-035179 от 26.12.2024 на сорт ЗОНТИК,,,,Лицензия,Включен
,,,,,,,2024-035179,26.12.2024,✔,,,
,,,,,СОЛНЫШКО,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035400 от 26.12.2024 11:29:54,Свидетельство оригинатора №2024-035178 от 26.12.2024 на сорт СОЛНЫШКО,,,,Лицензия,Включен
,,,,,,,2024-035178,26.12.2024,✔,,,
,,,,,ЧЕБУРАШКА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035330 от 23.12.2024 11:29:14,Свидетельство оригинатора №2024-035111 от 24.12.2024 на сорт ЧЕБУРАШКА,,,,Лицензия,Включен
,,,,,,,2024-035111,24.12.2024,✔,,,
,,,Перец острый,,,,,,,,,
,,,,,БАРАНИЙ РОГ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035148 от 12.12.2024 16:02:55,Свидетельство оригинатора №2024-034947 от 19.12.2024 на сорт БАРАНИЙ РОГ,,,,Лицензия,Включен
,,,,,,,2024-034947,19.12.2024,✔,,,
,,,,,ВЕНГЕРСКИЙ ЖЕЛТЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035149 от 12.12.2024 16:04:56,Свидетельство оригинатора №2024-034948 от 19.12.2024 на сорт ВЕНГЕРСКИЙ ЖЕЛТЫЙ,,,,Лицензия,Включен
,,,,,,,2024-034948,19.12.2024,✔,,,
,,,,,МАЛЕНЬКИЙ ПРИНЦ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035150 от 12.12.2024 16:06:55,Свидетельство оригинатора №2024-034949 от 19.12.2024 на сорт МАЛЕНЬКИЙ ПРИНЦ,,,,Лицензия,Включен
,,,,,,,2024-034949,19.12.2024,✔,,,
,,,,,ХАБАНЕРА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035151 от 12.12.2024 16:10:55,Свидетельство оригинатора №2024-034950 от 19.12.2024 на сорт ХАБАНЕРА,,,,Лицензия,Включен
,,,,,,,2024-034950,19.12.2024,✔,,,
,,,,,ЧУДО ПОДМОСКОВЬЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035152 от 12.12.2024 16:14:55,Свидетельство оригинатора №2024-034951 от 19.12.2024 на сорт ЧУДО ПОДМОСКОВЬЯ,,,,Лицензия,Включен
,,,,,,,2024-034951,19.12.2024,✔,,,
,,,,,ЮБИЛЕЙНЫЙ ВНИИССОК,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035153 от 12.12.2024 16:16:55,Свидетельство оригинатора №2024-034952 от 19.12.2024 на сорт ЮБИЛЕЙНЫЙ ВНИИССОК,,,,Лицензия,Включен
,,,,,,,2024-034952,19.12.2024,✔,,,
,,,,,ЯЗЫК ДРАКОНА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035154 от 12.12.2024 16:18:55,Свидетельство оригинатора №2024-034953 от 19.12.2024 на сорт ЯЗЫК ДРАКОНА,,,,Лицензия,Включен
,,,,,,,2024-034953,19.12.2024,✔,,,
,,,Перец сладкий,,,,,,,,,
,,,,,АГАПОВСКИЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035155 от 12.12.2024 16:20:56,Свидетельство оригинатора №2024-034954 от 19.12.2024 на сорт АГАПОВСКИЙ,,,,Лицензия,Включен
,,,,,,,2024-034954,19.12.2024,✔,,,
,,,,,БЕЛОЗЕРКА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035160 от 12.12.2024 16:34:55,Свидетельство оригинатора №2024-034959 от 19.12.2024 на сорт БЕЛОЗЕРКА,,,,Лицензия,Включен
,,,,,,,2024-034959,19.12.2024,✔,,,
,,,,,БОЛГАРЕЦ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035156 от 12.12.2024 16:24:55,Свидетельство оригинатора №2024-034955 от 19.12.2024 на сорт БОЛГАРЕЦ,,,,Лицензия,Включен
,,,,,,,2024-034955,19.12.2024,✔,,,
,,,,,ВИННИ ПУХ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035157 от 12.12.2024 16:26:56,Свидетельство оригинатора №2024-034956 от 19.12.2024 на сорт ВИННИ ПУХ,,,,Лицензия,Включен
,,,,,,,2024-034956,19.12.2024,✔,,,
,,,,,ЖЕЛТЫЙ БУКЕТ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035158 от 12.12.2024 16:28:55,Свидетельство оригинатора №2024-034957 от 19.12.2024 на сорт ЖЕЛТЫЙ БУКЕТ,,,,Лицензия,Включен
,,,,,,,2024-034957,19.12.2024,✔,,,
,,,,,ЗДОРОВЬЕ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035159 от 12.12.2024 16:30:55,Свидетельство оригинатора №2024-034958 от 19.12.2024 на сорт ЗДОРОВЬЕ,,,,Лицензия,Включен
,,,,,,,2024-034958,19.12.2024,✔,,,
,,,,,КАЛИФОРНИЙСКОЕ ЧУДО,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035420 от 26.12.2024 12:13:53,Свидетельство оригинатора №2024-035198 от 26.12.2024 на сорт КАЛИФОРНИЙСКОЕ ЧУДО,,,,Лицензия,Включен
,,,,,,,2024-035198,26.12.2024,✔,,,
,,,,,КОЛОБОК,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035564 от 13.01.2025 14:09:35,Свидетельство оригинатора №2025-000081 от 13.01.2025 на сорт КОЛОБОК,,,,Лицензия,Включен
,,,,,,,2025-000081,13.01.2025,✔,,,
,,,,,ЛАСТОЧКА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035178 от 16.12.2024 12:19:28,Свидетельство оригинатора №2024-034960 от 19.12.2024 на сорт ЛАСТОЧКА,,,,Лицензия,Включен
,,,,,,,2024-034960,19.12.2024,✔,,,
,,,,,МОРОЗКО,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035565 от 13.01.2025 14:13:36,Свидетельство оригинатора №2025-000082 от 13.01.2025 на сорт МОРОЗКО,,,,Лицензия,Включен
,,,,,,,2025-000082,13.01.2025,✔,,,
,,,,,ПОДАРОК МОЛДОВЫ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035179 от 16.12.2024 13:11:29,Свидетельство оригинатора №2024-034961 от 19.12.2024 на сорт ПОДАРОК МОЛДОВЫ,,,,Лицензия,Включен
,,,,,,,2024-034961,19.12.2024,✔,,,
,,,,,ЯНТАРЬ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035566 от 13.01.2025 14:15:35,Свидетельство оригинатора №2025-000083 от 13.01.2025 на сорт ЯНТАРЬ,,,,Лицензия,Включен
,,,,,,,2025-000083,13.01.2025,✔,,,
,,,Петрушка,,,,,,,,,
,,,,,ИТАЛЬЯНСКИЙ БОГАТЫРЬ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035241 от 17.12.2024 16:49:38,Свидетельство оригинатора №2024-035004 от 19.12.2024 на сорт ИТАЛЬЯНСКИЙ БОГАТЫРЬ,,,,Лицензия,Включен
,,,,,,,2024-035004,19.12.2024,✔,,,
,,,,,ИТАЛЬЯНСКИЙ ГИГАНТ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035242 от 17.12.2024 16:51:37,Свидетельство оригинатора №2024-035005 от 19.12.2024 на сорт ИТАЛЬЯНСКИЙ ГИГАНТ,,,,Лицензия,Включен
,,,,,,,2024-035005,19.12.2024,✔,,,
,,,,,ЛЮБАША,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035243 от 17.12.2024 16:55:38,Свидетельство оригинатора №2024-035006 от 19.12.2024 на сорт ЛЮБАША,,,,Лицензия,Включен
,,,,,,,2024-035006,19.12.2024,✔,,,
,,,,,САХАРНАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035244 от 17.12.2024 16:57:37,Свидетельство оригинатора №2024-035007 от 19.12.2024 на сорт САХАРНАЯ,,,,Лицензия,Включен
,,,,,,,2024-035007,19.12.2024,✔,,,
,,,,,СЛАВЯНСКАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035245 от 17.12.2024 16:59:38,Свидетельство оригинатора №2024-035008 от 19.12.2024 на сорт СЛАВЯНСКАЯ,,,,Лицензия,Включен
,,,,,,,2024-035008,19.12.2024,✔,,,
,,,,,УРОЖАЙНАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035608 от 13.01.2025 16:35:37,Свидетельство оригинатора №2025-000111 от 13.01.2025 на сорт УРОЖАЙНАЯ,,,,Лицензия,Включен
,,,,,,,2025-000111,13.01.2025,✔,,,
,,,Редис,,,,,,,,,
,,,,,18 ДНЕЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035246 от 18.12.2024 10:29:38,Свидетельство оригинатора №2024-035009 от 19.12.2024 на сорт 18 ДНЕЙ,,,,Лицензия,Включен
,,,,,,,2024-035009,19.12.2024,✔,,,
,,,,,ДУРО КРАСНОДАРСКОЕ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035609 от 13.01.2025 16:37:36,Свидетельство оригинатора №2025-000112 от 13.01.2025 на сорт ДУРО КРАСНОДАРСКОЕ,,,,Лицензия,Включен
,,,,,,,2025-000112,13.01.2025,✔,,,
,,,,,ЗАРЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035247 от 18.12.2024 10:35:37,Свидетельство оригинатора №2024-035010 от 19.12.2024 на сорт ЗАРЯ,,,,Лицензия,Включен
,,,,,,,2024-035010,19.12.2024,✔,,,
,,,,,ЗЛАТА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035248 от 18.12.2024 10:43:38,Свидетельство оригинатора №2024-035011 от 19.12.2024 на сорт ЗЛАТА,,,,Лицензия,Включен
,,,,,,,2024-035011,19.12.2024,✔,,,
,,,,,КОРОЛЕВА МАРГО,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035249 от 18.12.2024 11:11:39,Свидетельство оригинатора №2024-035012 от 19.12.2024 на сорт КОРОЛЕВА МАРГО,,,,Лицензия,Включен
,,,,,,,2024-035012,19.12.2024,✔,,,
,,,,,МОХОВСКИЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035610 от 13.01.2025 16:39:36,Свидетельство оригинатора №2025-000113 от 13.01.2025 на сорт МОХОВСКИЙ,,,,Лицензия,Включен
,,,,,,,2025-000113,13.01.2025,✔,,,
,,,,,ПРЕСТО,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035250 от 18.12.2024 11:57:38,Свидетельство оригинатора №2024-035013 от 19.12.2024 на сорт ПРЕСТО,,,,Лицензия,Включен
,,,,,,,2024-035013,19.12.2024,✔,,,
,,,,,РАННИЙ КРАСНЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035251 от 18.12.2024 11:59:39,Свидетельство оригинатора №2024-035014 от 19.12.2024 на сорт РАННИЙ КРАСНЫЙ,,,,Лицензия,Включен
,,,,,,,2024-035014,19.12.2024,✔,,,
,,,,,РИЗЕНБУТТЕР,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035252 от 18.12.2024 12:01:41,Свидетельство оригинатора №2024-035015 от 19.12.2024 на сорт РИЗЕНБУТТЕР,,,,Лицензия,Включен
,,,,,,,2024-035015,19.12.2024,✔,,,
,,,,,САКСА РС,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035253 от 18.12.2024 12:03:38,Свидетельство оригинатора №2024-035016 от 19.12.2024 на сорт САКСА РС,,,,Лицензия,Включен
,,,,,,,2024-035016,19.12.2024,✔,,,
,,,,,ФРАНЦУЗСКИЙ ЗАВТРАК,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035254 от 18.12.2024 12:07:38,Свидетельство оригинатора №2024-035017 от 19.12.2024 на сорт ФРАНЦУЗСКИЙ ЗАВТРАК,,,,Лицензия,Включен
,,,,,,,2024-035017,19.12.2024,✔,,,
,,,,,ЧЕМПИОН,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035255 от 18.12.2024 12:09:39,Свидетельство оригинатора №2024-035018 от 19.12.2024 на сорт ЧЕМПИОН,,,,Лицензия,Включен
,,,,,,,2024-035018,19.12.2024,✔,,,
,,,Редька,,,,,,,,,
,,,,,ЗИМНЯЯ КРУГЛАЯ БЕЛАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035256 от 18.12.2024 12:11:38,Свидетельство оригинатора №2024-035019 от 19.12.2024 на сорт ЗИМНЯЯ КРУГЛАЯ БЕЛАЯ,,,,Лицензия,Включен
,,,,,,,2024-035019,19.12.2024,✔,,,
,,,,,ЗИМНЯЯ КРУГЛАЯ ЧЕРНАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035257 от 18.12.2024 13:05:39,Свидетельство оригинатора №2024-035020 от 19.12.2024 на сорт ЗИМНЯЯ КРУГЛАЯ ЧЕРНАЯ,,,,Лицензия,Включен
,,,,,,,2024-035020,19.12.2024,✔,,,
,,,,,МАЙСКАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035258 от 18.12.2024 13:09:39,Свидетельство оригинатора №2024-035021 от 19.12.2024 на сорт МАЙСКАЯ,,,,Лицензия,Включен
,,,,,,,2024-035021,19.12.2024,✔,,,
,,,Редька китайская (лоба),,,,,,,,,
,,,,,КЛЫК СЛОНА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035611 от 13.01.2025 16:41:37,Свидетельство оригинатора №2025-000114 от 13.01.2025 на сорт КЛЫК СЛОНА,,,,Лицензия,Включен
,,,,,,,2025-000114,13.01.2025,✔,,,
,,,,,МАРГЕЛАНСКАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035259 от 18.12.2024 13:13:40,Свидетельство оригинатора №2024-035022 от 19.12.2024 на сорт МАРГЕЛАНСКАЯ,,,,Лицензия,Включен
,,,,,,,2024-035022,19.12.2024,✔,,,
,,,Репа,,,,,,,,,
,,,,,ГЕЙША,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035260 от 18.12.2024 13:15:39,Свидетельство оригинатора №2024-035023 от 19.12.2024 на сорт ГЕЙША,,,,Лицензия,Включен
,,,,,,,2024-035023,19.12.2024,✔,,,
,,,,,ГОЛДЕН БОЛЛ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035261 от 18.12.2024 13:17:40,Свидетельство оригинатора №2024-035024 от 19.12.2024 на сорт ГОЛДЕН БОЛЛ,,,,Лицензия,Включен
,,,,,,,2024-035024,19.12.2024,✔,,,
,,,,,ПЕТРОВСКАЯ 1,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035262 от 18.12.2024 13:19:39,Свидетельство оригинатора №2024-035025 от 19.12.2024 на сорт ПЕТРОВСКАЯ 1,,,,Лицензия,Включен
,,,,,,,2024-035025,19.12.2024,✔,,,
,,,,,СНЕГУРОЧКА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035263 от 18.12.2024 13:21:39,Свидетельство оригинатора №2024-035026 от 19.12.2024 на сорт СНЕГУРОЧКА,,,,Лицензия,Включен
,,,,,,,2024-035026,19.12.2024,✔,,,
,,,Салат,,,,,,,,,
,,,,,4 СЕЗОНА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035264 от 18.12.2024 13:23:39,Свидетельство оригинатора №2024-035027 от 19.12.2024 на сорт 4 СЕЗОНА,,,,Лицензия,Включен
,,,,,,,2024-035027,19.12.2024,✔,,,
,,,,,АЗАРТ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035563 от 13.01.2025 14:07:36,Свидетельство оригинатора №2025-000080 от 13.01.2025 на сорт АЗАРТ,,,,Лицензия,Включен
,,,,,,,2025-000080,13.01.2025,✔,,,
,,,,,АЙС КВИН,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035265 от 18.12.2024 13:27:39,Свидетельство оригинатора №2024-035028 от 19.12.2024 на сорт АЙС КВИН,,,,Лицензия,Включен
,,,,,,,2024-035028,19.12.2024,✔,,,
,,,,,АНАПЧАНИН,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035266 от 18.12.2024 13:29:40,Свидетельство оригинатора №2024-035029 от 19.12.2024 на сорт АНАПЧАНИН,,,,Лицензия,Включен
,,,,,,,2024-035029,19.12.2024,✔,,,
,,,,,БУКЕТ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035562 от 13.01.2025 14:05:35,Свидетельство оригинатора №2025-000079 от 13.01.2025 на сорт БУКЕТ,,,,Лицензия,Включен
,,,,,,,2025-000079,13.01.2025,✔,,,
,,,,,ДУБАЧЕК МС,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035267 от 18.12.2024 14:19:39,Свидетельство оригинатора №2024-035030 от 19.12.2024 на сорт ДУБАЧЕК МС,,,,Лицензия,Включен
,,,,,,,2024-035030,19.12.2024,✔,,,
,,,,,ИЗУМРУДНЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035268 от 18.12.2024 14:21:39,Свидетельство оригинатора №2024-035031 от 19.12.2024 на сорт ИЗУМРУДНЫЙ,,,,Лицензия,Включен
,,,,,,,2024-035031,19.12.2024,✔,,,
,,,,,КОЛОБОК,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035269 от 18.12.2024 14:23:40,Свидетельство оригинатора №2024-035032 от 19.12.2024 на сорт КОЛОБОК,,,,Лицензия,Включен
,,,,,,,2024-035032,19.12.2024,✔,,,
,,,,,КУЧЕРЯВЕЦ ГРИБОВСКИЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035270 от 18.12.2024 14:31:39,Свидетельство оригинатора №2024-035033 от 19.12.2024 на сорт КУЧЕРЯВЕЦ ГРИБОВСКИЙ,,,,Лицензия,Включен
,,,,,,,2024-035033,19.12.2024,✔,,,
,,,,,ЛОЛЛО БИОНДА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035271 от 18.12.2024 14:33:39,Свидетельство оригинатора №2024-035034 от 19.12.2024 на сорт ЛОЛЛО БИОНДА,,,,Лицензия,Включен
,,,,,,,2024-035034,19.12.2024,✔,,,
,,,,,ЛОЛЛО РОССА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035272 от 18.12.2024 14:35:39,Свидетельство оригинатора №2024-035035 от 19.12.2024 на сорт ЛОЛЛО РОССА,,,,Лицензия,Включен
,,,,,,,2024-035035,19.12.2024,✔,,,
,,,,,МАЛАХИТ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035273 от 18.12.2024 14:37:39,Свидетельство оригинатора №2024-035036 от 19.12.2024 на сорт МАЛАХИТ,,,,Лицензия,Включен
,,,,,,,2024-035036,19.12.2024,✔,,,
,,,,,ТАЙФУН,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035274 от 18.12.2024 14:39:39,Свидетельство оригинатора №2024-035037 от 19.12.2024 на сорт ТАЙФУН,,,,Лицензия,Включен
,,,,,,,2024-035037,19.12.2024,✔,,,
,,,Свекла столовая,,,,,,,,,
,,,,,БОРДО ОДНОСЕМЯННАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035010 от 09.12.2024 14:40:00,Свидетельство оригинатора №2024-034836 от 10.12.2024 на сорт БОРДО ОДНОСЕМЯННАЯ,,,,Лицензия,Включен
,,,,,,,2024-034836,10.12.2024,✔,,,
,,,,,ДВУСЕМЯННАЯ ТСХА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035012 от 09.12.2024 14:50:00,Свидетельство оригинатора №2024-034838 от 10.12.2024 на сорт ДВУСЕМЯННАЯ ТСХА,,,,Лицензия,Включен
,,,,,,,2024-034838,10.12.2024,✔,,,
,,,,,ДЕТРОЙТ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035013 от 09.12.2024 14:52:00,Свидетельство оригинатора №2024-034839 от 10.12.2024 на сорт ДЕТРОЙТ,,,,Лицензия,Включен
,,,,,,,2024-034839,10.12.2024,✔,,,
,,,,,ЕГИПЕТСКАЯ ПЛОСКАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035015 от 09.12.2024 14:56:01,Свидетельство оригинатора №2024-034840 от 10.12.2024 на сорт ЕГИПЕТСКАЯ ПЛОСКАЯ,,,,Лицензия,Включен
,,,,,,,2024-034840,10.12.2024,✔,,,
,,,,,МОНА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035018 от 09.12.2024 15:02:01,Свидетельство оригинатора №2024-034843 от 10.12.2024 на сорт МОНА,,,,Лицензия,Включен
,,,,,,,2024-034843,10.12.2024,✔,,,
,,,,,НЕСРАВНЕННАЯ А 463,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035019 от 09.12.2024 15:04:02,Свидетельство оригинатора №2024-034844 от 10.12.2024 на сорт НЕСРАВНЕННАЯ А 463,,,,Лицензия,Включен
,,,,,,,2024-034844,10.12.2024,✔,,,
,,,,,ОДНОРОСТКОВАЯ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035020 от 09.12.2024 15:08:00,Свидетельство оригинатора №2024-034845 от 10.12.2024 на сорт ОДНОРОСТКОВАЯ,,,,Лицензия,Включен
,,,,,,,2024-034845,10.12.2024,✔,,,
,,,Томат,,,,,,,,,
,,,,,АБАКАНСКИЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035026 от 09.12.2024 16:24:00,Свидетельство оригинатора №2024-034851 от 10.12.2024 на сорт АБАКАНСКИЙ,,,,Лицензия,Включен
,,,,,,,2024-034851,10.12.2024,✔,,,
,,,,,АБАКАНСКИЙ РОЗОВЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035027 от 09.12.2024 16:40:00,Свидетельство оригинатора №2024-034852 от 10.12.2024 на сорт АБАКАНСКИЙ РОЗОВЫЙ,,,,Лицензия,Включен
,,,,,,,2024-034852,10.12.2024,✔,,,
,,,,,АГАТА,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035028 от 09.12.2024 16:44:00,Свидетельство оригинатора №2024-034853 от 10.12.2024 на сорт АГАТА,,,,Лицензия,Включен
,,,,,,,2024-034853,10.12.2024,✔,,,
,,,,,АЛТАЙСКИЙ КРАСНЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035029 от 09.12.2024 16:48:00,Свидетельство оригинатора №2024-034857 от 10.12.2024 на сорт АЛТАЙСКИЙ КРАСНЫЙ,,,,Лицензия,Включен
,,,,,,,2024-034857,10.12.2024,✔,,,
,,,,,АЛТАЙСКИЙ ОРАНЖЕВЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035030 от 09.12.2024 16:50:00,Свидетельство оригинатора №2024-034856 от 10.12.2024 на сорт АЛТАЙСКИЙ ОРАНЖЕВЫЙ,,,,Лицензия,Включен
,,,,,,,2024-034856,10.12.2024,✔,,,
,,,,,АЛТАЙСКИЙ РОЗОВЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035031 от 09.12.2024 16:52:00,Свидетельство оригинатора №2024-034855 от 10.12.2024 на сорт АЛТАЙСКИЙ РОЗОВЫЙ,,,,Лицензия,Включен
,,,,,,,2024-034855,10.12.2024,✔,,,
,,,,,АЛТАЙСКИЙ ШЕДЕВР,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035032 от 09.12.2024 16:56:00,Свидетельство оригинатора №2024-034854 от 10.12.2024 на сорт АЛТАЙСКИЙ ШЕДЕВР,,,,Лицензия,Включен
,,,,,,,2024-034854,10.12.2024,✔,,,
,,,,,АМПЕЛЬНЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035037 от 10.12.2024 10:27:50,Свидетельство оригинатора №2024-034876 от 19.12.2024 на сорт АМПЕЛЬНЫЙ,,,,Лицензия,Включен
,,,,,,,2024-034876,19.12.2024,✔,,,
,,,,,АПЕЛЬСИН,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035038 от 10.12.2024 10:43:50,Свидетельство оригинатора №2024-034877 от 19.12.2024 на сорт АПЕЛЬСИН,,,,Лицензия,Включен
,,,,,,,2024-034877,19.12.2024,✔,,,
,,,,,АСТРАХАНСКИЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035046 от 10.12.2024 11:53:50,Свидетельство оригинатора №2024-034885 от 19.12.2024 на сорт АСТРАХАНСКИЙ,,,,Лицензия,Включен
,,,,,,,2024-034885,19.12.2024,✔,,,
,,,,,БАЛКОННОЕ ЧУДО,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035047 от 10.12.2024 12:03:51,Свидетельство оригинатора №2024-034886 от 19.12.2024 на сорт БАЛКОННОЕ ЧУДО,,,,Лицензия,Включен
,,,,,,,2024-034886,19.12.2024,✔,,,
,,,,,БУРАТИНО,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035048 от 10.12.2024 12:19:50,Свидетельство оригинатора №2024-034887 от 19.12.2024 на сорт БУРАТИНО,,,,Лицензия,Включен
,,,,,,,2024-034887,19.12.2024,✔,,,
,,,,,БУЯН ЖЕЛТЫЙ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035059 от 10.12.2024 13:29:51,Свидетельство оригинатора №2024-034898 от 19.12.2024 на сорт БУЯН ЖЕЛТЫЙ,,,,Лицензия,Включен
,,,,,,,2024-034898,19.12.2024,✔,,,
,,,,,БЫЧЬЕ СЕРДЦЕ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035071 от 10.12.2024 13:59:52,Свидетельство оригинатора №2024-034910 от 19.12.2024 на сорт БЫЧЬЕ СЕРДЦЕ,,,,Лицензия,Включен
,,,,,,,2024-034910,19.12.2024,✔,,,
,,,,,БЫЧЬЕ СЕРДЦЕ ЗОЛОТОЕ,Заявление о регистрации оригинатора сорта или гибрида сельскохозяйственного растения 000035073 от 10.12.2024 14:03:52,Свидетельство оригинатора №2024-034912 от 19.12.2024 на сорт БЫЧЬЕ СЕРДЦЕ ЗОЛОТОЕ,,,,Лицензия,Включен
,,,,,,,2024-034912,19.12.2024,✔,,,
